sampling,n_cells,cell_size_lambda,contested_cells,exactly_quadratic,weighting,n_configurations,degenerate,degenerate_exact,degenerate_surrogate,pearson_r,spearman_rho,surrogate_argmax_is_exact_argmax,best_exact_cells,cells_at_surrogate_optimum,coverage_shortfall_cells,coverage_shortfall_percent,mean_relative_overcount,max_relative_overcount
earth_rotation,8,173231.6037732186,24,False,shared,70,False,False,False,0.8681838621010104,0.8962120549383256,False,25.0,21.0,4.0,16.0,-0.5945810417659426,-0.32222222222222213
earth_rotation,8,173231.6037732186,24,False,radial,70,False,False,False,0.8591783103086557,0.9049601959583589,False,25.0,21.0,4.0,16.0,0.23854034617348324,1.288529053375729
earth_rotation,12,115487.7358488124,39,False,count,70,False,False,False,0.886402411599249,0.8837547021257983,False,44.0,36.0,8.0,18.181818181818183,0.3247633093868775,1.0769230769230769
earth_rotation,12,115487.7358488124,39,False,shared,70,False,False,False,0.907235874507398,0.9233662846645087,True,44.0,44.0,0.0,0.0,-0.48019524175796824,-0.1666666666666667
earth_rotation,12,115487.7358488124,39,False,radial,70,False,False,False,0.8880250432321999,0.9199370133846558,True,44.0,44.0,0.0,0.0,0.5935666320576443,2.296061791550884
earth_rotation,16,86615.8018866093,48,False,count,70,False,False,False,0.9480841366693115,0.9522351500306185,False,52.0,48.0,4.0,7.6923076923076925,0.17209539533223261,0.6
earth_rotation,16,86615.8018866093,48,False,shared,70,False,False,False,0.9509397356603077,0.9637127110489021,False,52.0,48.0,4.0,7.6923076923076925,-0.3466997267379124,-0.10416666666666667
earth_rotation,16,86615.8018866093,48,False,radial,70,False,False,False,0.926748639952627,0.9441168751640276,False,52.0,48.0,4.0,7.6923076923076925,0.9190091425886902,2.2782326528931307
earth_rotation,24,57743.8679244062,58,False,count,70,False,False,False,0.9524831557388421,0.9413524626016971,False,75.0,71.0,4.0,5.333333333333333,0.1161485082457513,0.425531914893617
earth_rotation,24,57743.8679244062,58,False,shared,70,False,False,False,0.9564736189661094,0.966582101303473,False,75.0,71.0,4.0,5.333333333333333,-0.24042794115091679,-0.03286384976525815
earth_rotation,24,57743.8679244062,58,False,radial,70,False,False,False,0.936933248734156,0.9490158341352463,False,75.0,71.0,4.0,5.333333333333333,1.1871762565592143,2.520060243592921
earth_rotation,32,43307.90094330465,60,False,count,70,False,False,False,0.967479958359318,0.9629428746391391,True,87.0,87.0,0.0,0.0,0.08472253727571022,0.38461538461538464
earth_rotation,32,43307.90094330465,60,False,shared,70,False,False,False,0.9731590644023195,0.9805791269355263,False,87.0,83.0,4.0,4.597701149425287,-0.1836695832303708,-0.024096385542168676
earth_rotation,32,43307.90094330465,60,False,radial,70,False,False,False,0.9583149021900931,0.9720409412999738,False,87.0,83.0,4.0,4.597701149425287,1.3147136345473664,2.5099473086263617
earth_rotation,64,21653.950471652326,44,False,count,70,False,False,False,0.9928769945758257,0.9880675356486747,True,158.0,158.0,0.0,0.0,0.02981572043485125,0.14285714285714285
earth_rotation,64,21653.950471652326,44,False,shared,70,False,False,False,0.9938475698125179,0.9912868515440468,True,158.0,158.0,0.0,0.0,-0.07036102143102664,-0.017241379310344827
earth_rotation,64,21653.950471652326,44,False,radial,70,False,False,False,0.9827029252248619,0.9861079520601872,False,158.0,152.0,6.0,3.7974683544303796,1.6489948508354753,2.631439487159732
earth_rotation,128,10826.975235826163,24,False,count,70,False,False,False,0.9988398316910254,0.9962907882075058,True,286.0,286.0,0.0,0.0,0.007580648036132679,0.0603448275862069
earth_rotation,128,10826.975235826163,24,False,shared,70,False,False,False,0.9986615373927494,0.992931502055813,True,286.0,286.0,0.0,0.0,-0.021293281898841332,0.0
earth_rotation,128,10826.975235826163,24,False,radial,70,False,False,False,0.9895643887304953,0.981313970781209,True,286.0,286.0,0.0,0.0,1.7765473028681984,2.6687631770320435
earth_rotation,256,5413.4876179130815,20,False,count,70,False,False,False,0.9993618087179076,0.998950223077596,True,436.0,436.0,0.0,0.0,0.00398827647586681,0.03597122302158273
earth_rotation,256,5413.4876179130815,20,False,shared,70,False,False,False,0.9994729561461552,0.9988452453853555,False,436.0,434.0,2.0,0.45871559633027525,-0.00925346852159336,0.0
earth_rotation,256,5413.4876179130815,20,False,radial,70,False,False,False,0.9859977442701224,0.9888723646225176,False,436.0,434.0,2.0,0.45871559633027525,1.7761177075591978,2.557905785614813
