radial,angular,replicate,radial_idx,angular_idx,unique_cells,peak_sidelobe,fwhm_arcsec,feasible
exponential,multi_arm,4,3,4,1283,0.11876834504817789,0.043507717143449684,True
gaussian,golden,0,4,0,829,0.16556363494126197,0.05363099348308733,True
gaussian,golden,1,4,0,831,0.14646435788675227,0.05421004794080172,True
gaussian,golden,2,4,0,829,0.1290830817171905,0.05378075575684269,True
gaussian,golden,3,4,0,840,0.1482953847050569,0.05351152818748305,True
gaussian,golden,4,4,0,829,0.15438504002358155,0.05381941934525312,True
gaussian,uniform,0,4,1,549,0.2862903703820165,0.062474082932643636,True
gaussian,uniform,1,4,1,569,0.27193345982309364,0.06090822379958386,True
gaussian,uniform,2,4,1,559,0.28292321339204163,0.060748257526388974,False
gaussian,uniform,3,4,1,559,0.26449035328368314,0.06184780313070696,True
gaussian,uniform,4,4,1,553,0.28323052977236396,0.06169242416547789,True
gaussian,rational,0,4,2,821,0.14852702837775753,0.05479549048499091,True
gaussian,rational,1,4,2,835,0.14963480460698678,0.05430546307779353,True
gaussian,rational,2,4,2,822,0.14514505908133643,0.0541604810884475,True
gaussian,rational,3,4,2,830,0.15783862959355133,0.05450879265116462,True
gaussian,rational,4,4,2,826,0.15433136667985298,0.05454313685102762,True
gaussian,random,0,4,3,809,0.17427223613395523,0.05571424536631572,False
gaussian,random,1,4,3,759,0.1503689834237107,0.05624470787916067,True
gaussian,random,2,4,3,783,0.14912639764017044,0.0571541428983605,True
gaussian,random,3,4,3,673,0.13120604301342087,0.06200666909241714,False
gaussian,random,4,4,3,749,0.11438203996365454,0.0574025034868704,True
gaussian,multi_arm,0,4,4,843,0.17339633183566036,0.05507345086843515,True
gaussian,multi_arm,1,4,4,831,0.10773345590519655,0.05502899219210581,True
gaussian,multi_arm,2,4,4,839,0.1712676382362336,0.054860550606660966,True
gaussian,multi_arm,3,4,4,823,0.18786450107136352,0.05599191560716913,True
gaussian,multi_arm,4,4,4,843,0.18530580592017393,0.05522201748583275,True
